data,venda,estoque,preco
2014-01-01,0,4972,1.29
2014-01-02,70,4902,1.29
2014-01-03,59,4843,1.29
2014-01-04,93,4750,1.29
2014-01-05,96,4654,1.29
2014-01-06,145,4509,1.29
2014-01-07,179,4329,1.29
2014-01-08,321,4104,1.29
2014-01-09,125,4459,1.09
2014-01-10,88,5043,1.09
2014-01-11,188,5239,1.09
2014-01-12,121,5118,1.09
2014-01-13,134,4984,1.09
2014-01-14,80,4904,1.09
2014-01-15,82,4822,1.09
2014-01-16,94,4728,1.19
2014-01-18,159,4464,1.19
2014-01-19,199,4265,1.19
2014-01-20,104,4161,1.19
2014-01-21,70,4091,1.19
2014-01-22,127,3964,1.09
2014-01-23,96,3868,1.09
2014-01-24,75,3793,1.09
2014-01-25,198,3595,1.09
2014-01-26,168,3427,1.09
2014-01-27,125,3302,1.09
2014-01-28,86,3216,1.09
2014-01-29,222,2994,0.99
2014-01-30,272,2723,0.99
2014-01-31,209,2514,0.99
2014-02-01,369,2145,0.99
2014-02-02,217,1928,0.99
2014-02-03,97,1831,0.99
2014-02-04,117,1714,0.99
2014-02-05,100,1998,1.29
2014-02-06,64,2126,1.29
2014-02-07,35,2091,1.29
2014-02-08,54,2037,1.29
2014-02-09,55,1982,1.29
2014-02-12,8,7228,1.29
2014-02-13,43,7185,1.09
2014-02-14,107,7078,1.09
2014-02-15,116,6962,1.09
2014-02-16,87,6875,1.09
2014-02-17,66,6809,1.09
2014-02-18,44,6765,1.09
2014-02-19,33,6731,1.09
2014-02-20,13,6718,1.09
2014-02-21,53,6665,1.09
2014-02-22,72,6593,1.09
2014-02-23,50,6543,1.09
2014-02-24,15,6528,1.09
2014-02-25,12,6516,1.09
2014-02-26,71,6445,1.09
2014-02-27,37,6412,1.09
2014-02-28,83,6329,1.09
2014-03-01,94,6237,1.09
2014-03-02,59,6178,1.09
2014-03-03,49,6129,1.09
2014-03-05,65,6012,1.09
2014-03-06,55,5957,1.09
2014-03-07,77,5880,1.09
2014-03-08,122,5755,1.09
2014-03-09,83,5672,1.09
2014-03-10,75,5597,1.09
2014-03-11,48,5549,1.09
2014-03-12,45,5504,1.29
2014-03-13,78,4659,1.29
2014-03-14,122,4537,1.29
2014-03-16,116,4274,1.29
2014-03-17,48,4228,1.29
2014-03-18,29,4199,1.29
2014-03-19,91,4107,1.29
2014-03-20,59,4048,1.29
2014-03-21,68,3980,1.29
2014-03-22,137,3843,1.28
2014-03-23,56,3787,1.29
2014-03-24,13,3774,1.29
2014-03-25,45,3729,1.29
